Name of Conference,H-Index,Predicted Imapct Factor
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,5.0,0.8028136762610225
"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP",47.0,1.8518552078646588
WWW 2015 - Proceedings of the 24th International Conference on World Wide Web,1.0,0.702904958965438
"2015 IEEE/ACM International Conference on Computer-Aided Design, ICCAD 2015",10.0,0.927699572880503
"2015 IEEE 16th Workshop on Control and Modeling for Power Electronics, COMPEL 2015",8.0,0.8777452142327108
"Proceedings - 2014 Power Systems Computation Conference, PSCC 2014",5.0,0.8028136762610225
Annual ACM Symposium on Parallelism in Algorithms and Architectures,38.0,1.627060593949594
DBPL 2015 - Proceedings of the 15th Symposium on Database Programming Languages,3.0,0.7528593176132302
"Proceedings - 2014 IEEE Asian Solid-State Circuits Conference, A-SSCC 2014",6.0,0.8277908555849185
"14th International Conference on the Principles of Knowledge Representation and Reasoning, KR 2014",12.0,0.9776539315282952
IISWC 2014 - IEEE International Symposium on Workload Characterization,10.0,0.927699572880503
Operating Systems Review (ACM),90.0,2.9258739187921914
"Principles of Knowledge Representation and Reasoning: Proceedings of the 15th International Conference, KR 2016",7.0,0.8527680349088147
"PEPM 2015 - Proceedings of the 2015 ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation, co-located with POPL 2015",4.0,0.7778364969371263
"MCS 2015 - Proceedings of the 6th International Workshop on Mobile Cloud Computing and Services, co-located with MobiCom 2015",3.0,0.7528593176132302
ACM/IEEE International Conference on Human-Robot Interaction,21.0,1.2024485454433602
"ASIACCS 2015 - Proceedings of the 10th ACM Symposium on Information, Computer and Communications Security",12.0,0.9776539315282952
"2016 IEEE 32nd International Conference on Data Engineering, ICDE 2016",9.0,0.9027223935566069
"Proceedings - 2014 3rd European Workshop on Software-Defined Networks, EWSDN 2014",11.0,0.9526767522043991
"2014 IEEE International Conference on Smart Grid Communications, SmartGridComm 2014",12.0,0.9776539315282952
"MMCommons 2015 - Proceedings of the 2015 Workshop on Community-Organized Multimodal Mining: Opportunities for Novel Solutions, co-located with ACM MM 2015",3.0,0.7528593176132302
"2014 Formal Methods in Computer-Aided Design, FMCAD 2014",7.0,0.8527680349088147
"2014 IEEE Globecom Workshops, GC Wkshps 2014",17.0,1.1025398281477756
"2015 IEEE International Conference on Computational Photography, ICCP 2015 - Proceedings",6.0,0.8277908555849185
CIKM 2014 - Proceedings of the 2014 ACM International Conference on Information and Knowledge Management,20.0,1.177471366119464
EC 2015 - Proceedings of the 2015 ACM Conference on Economics and Computation,7.0,0.8527680349088147
"IS'2012 - 2012 6th IEEE International Conference Intelligent Systems, Proceedings",6.0,0.8277908555849185
Proceedings of the Computer Security Foundations Workshop,55.0,2.0516726424558276
ICMR 2014 - Proceedings of the ACM International Conference on Multimedia Retrieval 2014,13.0,1.0026311108521913
SIGCOMM 2016 - Proceedings of the 2016 ACM Conference on Special Interest Group on Data Communication,13.0,1.0026311108521913
THERMINIC 2015 - 21st International Workshop on Thermal Investigations of ICs and Systems,3.0,0.7528593176132302
Proceedings - SCA 2015: 14th ACM SIGGRAPH / Eurographics Symposium on Computer Animation,6.0,0.8277908555849185
"2015 IEEE International Symposium on Dynamic Spectrum Access Networks, DySPAN 2015",6.0,0.8277908555849185
"2014 IEEE Winter Conference on Applications of Computer Vision, WACV 2014",15.0,1.0525854694999834
"AllThingsCellular 2015 - Proceedings of the 5th Workshop on All Things Cellular: Operations, Applications and Challenges, Part of SIGCOMM 2015",5.0,0.8028136762610225
CSWS 2014 - Proceedings of the ACM SIGCOMM 2014 Workshop on Capacity Sharing Workshop,4.0,0.7778364969371263
"22nd International Congress on Sound and Vibration, ICSV 2015",1.0,0.702904958965438
"AGERE 2015 - Proceedings of the 5th International Workshop on Programming Based on Actors, Agents,and Decentralized Control",2.0,0.7278821382893341
"2014 IEEE Globecom Workshops, GC Wkshps 2014",9.0,0.9027223935566069
"2nd IEEE Workshop on Wide Bandgap Power Devices and Applications, WiPDA 2014",9.0,0.9027223935566069
"2014 IEEE International Conference on Communications Workshops, ICC 2014",15.0,1.0525854694999834
WSDM 2016 - Proceedings of the 9th ACM International Conference on Web Search and Data Mining,10.0,0.927699572880503
"VISIGRAPP 2016 - Proceedings of the 11th Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications - Doctoral Consortium",1.0,0.702904958965438
"10th International Workshop on Data Management on New Hardware, DaMoN 2014 - In Conjunction with the ACM SIGMOD/PODS Conference",5.0,0.8028136762610225
"2015 European Conference on Mobile Robots, ECMR 2015 - Proceedings",5.0,0.8028136762610225
SenSys 2015 - Proceedings of the 13th ACM Conference on Embedded Networked Sensor Systems,13.0,1.0026311108521913
"Proceedings of the 18th International Conference on Hybrid Systems: Computation and Control, HSCC 2015",8.0,0.8777452142327108
"Proceedings International Conference on Automated Planning and Scheduling, ICAPS",13.0,1.0026311108521913
"Proceedings of WORKS 2014: The 9th Workshop on Workflows in Support of Large-Scale Science - held in conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",1.0,0.702904958965438
"2015 IEEE Energy Conversion Congress and Exposition, ECCE 2015",13.0,1.0026311108521913
"Uncertainty in Artificial Intelligence - Proceedings of the 30th Conference, UAI 2014",10.0,0.927699572880503
"CPP 2016 - Proceedings of the 5th ACM SIGPLAN Conference on Certified Programs and Proofs, co-located with POPL 2016",4.0,0.7778364969371263
Proceedings - Euromicro Conference on Real-Time Systems,49.0,1.901809566512451
"2014 IEEE World Forum on Internet of Things, WF-IoT 2014",17.0,1.1025398281477756
"Proceedings - 2015 IEEE International Symposium on Predictive Control of Electrical Drives and Power Electronics, PRECEDE 2015",5.0,0.8028136762610225
"12th IEEE International Symposium on Safety, Security and Rescue Robotics, SSRR 2014 - Symposium Proceedings",1.0,0.702904958965438
"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",119.0,3.6502121191851784
"Proceedings of the 17th International Conference on Advanced Robotics, ICAR 2015",6.0,0.8277908555849185
"2014 52nd Annual Allerton Conference on Communication, Control, and Computing, Allerton 2014",6.0,0.8277908555849185
"2015 14th International Conference on ITS Telecommunications, ITST 2015",2.0,0.7278821382893341
"Proceedings of 2015 International Conference on Biometrics, ICB 2015",9.0,0.9027223935566069
"Proceedings - 2014 International Workshop on Secure Internet of Things, SIoT 2014",2.0,0.7278821382893341
COSN 2014 - Proceedings of the 2014 ACM Conference on Online Social Networks,7.0,0.8527680349088147
"Proceedings of the 15th International Middleware Conference, Middleware 2014",9.0,0.9027223935566069
Proceedings of the International Conference on Dependable Systems and Networks,56.0,2.076649821779724
HSCC 2016 - Proceedings of the 19th International Conference on Hybrid Systems: Computation and Control,5.0,0.8028136762610225
"13th Workshop on Analytic Algorithmics and Combinatorics 2016, ANALCO 2016",2.0,0.7278821382893341
HotWireless 2014 - Proceedings of the 1st ACM MobiCom Workshop on Hot Topics in Wireless,5.0,0.8028136762610225
"2014 IEEE International Conference on Pervasive Computing and Communications, PerCom 2014",14.0,1.0276082901760875
ISPASS 2015 - IEEE International Symposium on Performance Analysis of Systems and Software,5.0,0.8028136762610225
"Proceedings of the 19th International Workshop on Web and Databases, WebDB 2016",2.0,0.7278821382893341
